H,GaussMeter,(Oe),Mx,(emu)
-26.0519,8.90E-02,,,
112.135147,9.21E-02,,,
217.705757,9.51E-02,,,
296.475933,9.72E-02,,,
392.208542,9.98E-02,,,
492.521782,1.03E-01,,,
596.097847,1.07E-01,,,
694.184204,1.11E-01,,,
802.124306,1.16E-01,,,
902.309815,1.21E-01,,,
1007.350388,1.27E-01,,,
1215.062851,1.40E-01,,,
1423.993927,1.53E-01,,,
1633.823486,1.66E-01,,,
1837.499512,1.79E-01,,,
2046.274597,1.92E-01,,,
2360.197357,2.10E-01,,,
2674.746338,2.28E-01,,,
2989.644104,2.44E-01,,,
3294.926056,2.56E-01,,,
3598.355469,2.65E-01,,,
3895.391418,2.71E-01,,,
4189.980285,2.77E-01,,,
4491.757385,2.80E-01,,,
4785.901855,2.83E-01,,,
5081.123962,2.86E-01,,,
5484.337402,2.89E-01,,,
5888.35083,2.92E-01,,,
6285.278259,2.93E-01,,,
6690.609558,2.95E-01,,,
7083.59729,2.96E-01,,,
7475.127991,2.97E-01,,,
7866.949463,2.98E-01,,,
8255.062988,2.99E-01,,,
8644.532227,2.99E-01,,,
9026.231445,2.99E-01,,,
9507.448608,3.00E-01,,,
9975.865357,3.00E-01,,,
10445.130249,3.00E-01,,,
10911.867675,3.01E-01,,,
11376.710693,3.01E-01,,,
11843.216797,3.01E-01,,,
12306.469116,3.02E-01,,,
12760.915893,3.02E-01,,,
13210.948852,3.02E-01,,,
13666.607544,3.02E-01,,,
14595.898804,3.02E-01,,,
15500.13208,3.02E-01,,,
16433.28125,3.02E-01,,,
17412.105957,3.01E-01,,,
18329.402832,2.99E-01,,,
18328.117188,2.99E-01,,,
17602.980224,3.01E-01,,,
16776.7854,3.02E-01,,,
15951.004639,3.03E-01,,,
15128.074097,3.03E-01,,,
14267.049439,3.03E-01,,,
13839.729859,3.03E-01,,,
13408.830933,3.03E-01,,,
12971.596557,3.03E-01,,,
12522.345947,3.03E-01,,,
12060.613403,3.03E-01,,,
11599.583496,3.03E-01,,,
11131.618286,3.03E-01,,,
10671.719605,3.02E-01,,,
10192.545166,3.02E-01,,,
9721.739502,3.01E-01,,,
9335.981201,3.01E-01,,,
8939.988159,3.01E-01,,,
8545.255615,3.00E-01,,,
8155.619079,3.00E-01,,,
7753.289795,2.99E-01,,,
7357.129211,2.99E-01,,,
6952.736633,2.98E-01,,,
6551.321045,2.98E-01,,,
6139.256653,2.97E-01,,,
5733.883606,2.96E-01,,,
5436.342468,2.94E-01,,,
5135.890991,2.93E-01,,,
4836.852966,2.91E-01,,,
4535.465332,2.90E-01,,,
4227.797607,2.88E-01,,,
3922.779114,2.85E-01,,,
3603.788452,2.82E-01,,,
3288.56134,2.78E-01,,,
2960.227905,2.74E-01,,,
2635.994751,2.67E-01,,,
2424.274231,2.61E-01,,,
2210.468079,2.52E-01,,,
1991.396896,2.40E-01,,,
1768.86322,2.26E-01,,,
1545.46347,2.08E-01,,,
1439.139252,2.00E-01,,,
1322.88269,1.92E-01,,,
1207.875138,1.83E-01,,,
1098.338089,1.74E-01,,,
977.218239,1.65E-01,,,
858.488495,1.57E-01,,,
747.681046,1.49E-01,,,
639.032997,1.42E-01,,,
517.421394,1.34E-01,,,
337.564343,1.23E-01,,,
