H GaussMeter (Oe),Mx (emu),,,
-14.534003,2.74E-01,8.53366E-05,8.53366E-05,0
20.620904,2.77E-01,0.000143333,0.000143333,
48.52789,2.81E-01,7.56285E-05,7.56285E-05,
74.97294,2.83E-01,0.000112596,0.000112596,
92.73554,2.85E-01,8.86211E-05,8.86211E-05,
115.303521,2.87E-01,0.000148794,0.000148794,
128.7449,2.89E-01,0.000120188,0.000120188,
145.385498,2.91E-01,0.000110957,0.000110957,
163.410486,2.93E-01,0.000105185,0.000105185,
182.424559,2.95E-01,5.76735E-05,5.76735E-05,
199.76353,2.96E-01,0.000176297,0.000176297,
211.108013,2.98E-01,9.58078E-05,9.58078E-05,
231.983135,3.00E-01,0.000132073,0.000132073,
247.126219,3.02E-01,0.000105727,0.000105727,
266.042774,3.04E-01,0.000102937,0.000102937,
285.472122,3.06E-01,8.43012E-05,8.43012E-05,
309.196572,3.08E-01,0.000116385,0.000116385,
326.380875,3.10E-01,0.000141998,0.000141998,
347.507881,3.13E-01,0.000154458,0.000154458,
366.930584,3.16E-01,4.25051E-05,4.25051E-05,
390.457163,3.17E-01,0.000123711,0.000123711,
406.623905,3.19E-01,7.82996E-05,7.82996E-05,
432.166813,3.21E-01,0.000115008,0.000115008,
449.556976,3.23E-01,0.000107739,0.000107739,
755.853958,3.56E-01,8.00937E-05,8.00937E-05,
780.824699,3.58E-01,9.42265E-05,9.42265E-05,
802.05014,3.60E-01,0.00012685,0.00012685,
817.816803,3.62E-01,0.000148268,0.000148268,
838.050461,3.65E-01,8.65953E-05,8.65953E-05,
861.146416,3.67E-01,9.2404E-05,9.2404E-05,
882.790489,3.69E-01,0.000164918,0.000164918,
900.981331,3.72E-01,0.000102399,0.000102399,
920.512787,3.74E-01,8.06485E-05,8.06485E-05,
945.311775,3.76E-01,0.000108967,0.000108967,
963.666008,3.78E-01,0.000103454,0.000103454,
982.998283,3.80E-01,8.64667E-05,8.64667E-05,
1006.12857,3.82E-01,0.000113782,0.000113782,
1058.860825,3.88E-01,0.00012119,0.00012119,
1108.36969,3.94E-01,9.4194E-05,9.4194E-05,
1161.451645,3.99E-01,9.50745E-05,9.50745E-05,
1214.041977,4.04E-01,0.000107404,0.000107404,
1269.905731,4.10E-01,0.00010099,0.00010099,
1319.415817,4.15E-01,0.000106125,0.000106125,
1375.953049,4.21E-01,0.000100061,0.000100061,
1425.922409,4.26E-01,0.000122451,0.000122451,
1474.921554,4.32E-01,9.2379E-05,9.2379E-05,
1529.046402,4.37E-01,9.86246E-05,9.86246E-05,
1579.743683,4.42E-01,0.000114236,0.000114236,
1632.266449,4.48E-01,9.1015E-05,9.1015E-05,
1687.202438,4.53E-01,0.000124668,0.000124668,
1735.330292,4.59E-01,9.2568E-05,9.2568E-05,
1789.34465,4.64E-01,0.000101488,0.000101488,
1838.61142,4.69E-01,8.7251E-05,8.7251E-05,
1895.917374,4.74E-01,0.000124598,0.000124598,
1944.072113,4.80E-01,9.84584E-05,9.84584E-05,
1994.854981,4.85E-01,9.55037E-05,9.55037E-05,
2047.209,4.90E-01,9.7765E-05,9.7765E-05,
