H GaussMeter (Oe),Mx (emu),,
-14.534003,2.74E-01,,
20.620904,2.77E-01,,
48.52789,2.81E-01,,
74.97294,2.83E-01,,
92.73554,2.85E-01,,
115.303521,2.87E-01,,
128.7449,2.89E-01,,
145.385498,2.91E-01,,
163.410486,2.93E-01,,
182.424559,2.95E-01,,
199.76353,2.96E-01,,
211.108013,2.98E-01,,
231.983135,3.00E-01,,
247.126219,3.02E-01,,
266.042774,3.04E-01,,
285.472122,3.06E-01,,
309.196572,3.08E-01,,
326.380875,3.10E-01,,
347.507881,3.13E-01,,
366.930584,3.16E-01,,
390.457163,3.17E-01,,
406.623905,3.19E-01,,
432.166813,3.21E-01,,
449.556976,3.23E-01,,
755.853958,3.56E-01,,
780.824699,3.58E-01,,
802.05014,3.60E-01,,
817.816803,3.62E-01,,
838.050461,3.65E-01,,
861.146416,3.67E-01,,
882.790489,3.69E-01,,
900.981331,3.72E-01,,
920.512787,3.74E-01,,
945.311775,3.76E-01,,
963.666008,3.78E-01,,
982.998283,3.80E-01,,
1006.12857,3.82E-01,,
1058.860825,3.88E-01,,
1108.36969,3.94E-01,,
1161.451645,3.99E-01,,
1214.041977,4.04E-01,,
1269.905731,4.10E-01,,
1319.415817,4.15E-01,,
1375.953049,4.21E-01,,
1425.922409,4.26E-01,,
1474.921554,4.32E-01,,
1529.046402,4.37E-01,,
1579.743683,4.42E-01,,
1632.266449,4.48E-01,,
1687.202438,4.53E-01,,
1735.330292,4.59E-01,,
1789.34465,4.64E-01,,
1838.61142,4.69E-01,,
1895.917374,4.74E-01,,
1944.072113,4.80E-01,,
1994.854981,4.85E-01,,
2047.209,4.90E-01,,
2262.009766,5.11E-01,,
2472.492981,5.33E-01,,
2682.495788,5.54E-01,,
2888.429077,5.75E-01,,
3098.528442,5.96E-01,,
3298.824249,6.16E-01,,
3505.09021,6.36E-01,,
3702.899872,6.55E-01,,
3902.214325,6.75E-01,,
4098.6427,6.94E-01,,
4301.148254,7.13E-01,,
4497.72644,7.33E-01,,
4696.905395,7.52E-01,,
4898.610107,7.70E-01,,
5100.588989,7.89E-01,,
5302.15155,8.07E-01,,
5497.940307,8.25E-01,,
5697.291992,8.44E-01,,
5906.15271,8.62E-01,,
6105.411926,8.80E-01,,
7121.351868,9.67E-01,,
8116.726257,1.05E+00,,
9092.429443,1.12E+00,,
10041.73731,1.19E+00,,
10985.80042,1.26E+00,,
11928.8346,1.32E+00,,
12844.77136,1.38E+00,,
13764.30029,1.43E+00,,
14695.94067,1.48E+00,,
15600.05444,1.53E+00,,
16553.28589,1.57E+00,,
17519.80396,1.61E+00,,
18456.34277,1.65E+00,,
19326.42529,1.66E+00,,
19321.39282,1.66E+00,,
18589.58838,1.65E+00,,
17835.04541,1.63E+00,,
16970.45117,1.60E+00,,
16115.99475,1.57E+00,,
15286.19446,1.53E+00,,
14408.8905,1.48E+00,,
13526.25403,1.43E+00,,
12621.32373,1.38E+00,,
11676.30249,1.31E+00,,
10743.495,1.25E+00,,
9774.59375,1.18E+00,,
8791.353027,1.11E+00,,
7791.593994,1.03E+00,,
6784.911438,9.52E-01,,
6592.252564,9.36E-01,,
6380.663391,9.19E-01,,
6181.670776,9.03E-01,,
5981.277832,8.86E-01,,
5777.345398,8.70E-01,,
5579.930359,8.53E-01,,
5376.364197,8.36E-01,,
5175.77771,8.19E-01,,
4975.407654,8.02E-01,,
4770.52887,7.84E-01,,
4571.999878,7.67E-01,,
4362.90625,7.49E-01,,
4160.354919,7.31E-01,,
3951.509613,7.13E-01,,
3742.236175,6.94E-01,,
3526.997833,6.75E-01,,
3315.711365,6.56E-01,,
3099.058411,6.36E-01,,
2878.959808,6.16E-01,,
2663.70285,5.96E-01,,
2611.046112,5.91E-01,,
2557.33017,5.86E-01,,
2502.741638,5.81E-01,,
2449.401581,5.76E-01,,
2398.978302,5.71E-01,,
2341.208618,5.66E-01,,
2290.997742,5.61E-01,,
2234.924622,5.56E-01,,
2184.185761,5.50E-01,,
2127.590576,5.45E-01,,
2072.351776,5.40E-01,,
2018.195984,5.35E-01,,
1959.180832,5.30E-01,,
1904.052124,5.25E-01,,
1855.099808,5.19E-01,,
1793.10408,5.14E-01,,
1737.988419,5.08E-01,,
1685.217575,5.03E-01,,
1625.447006,4.98E-01,,
1575.484894,4.92E-01,,
1552.881927,4.90E-01,,
1531.126038,4.88E-01,,
1506.111649,4.86E-01,,
1484.939438,4.83E-01,,
1460.618286,4.81E-01,,
1435.892853,4.79E-01,,
1414.429306,4.77E-01,,
1394.952865,4.75E-01,,
1374.347824,4.72E-01,,
1348.565979,4.70E-01,,
1323.54483,4.68E-01,,
1299.634705,4.66E-01,,
1279.651962,4.64E-01,,
1255.464737,4.61E-01,,
1233.902267,4.59E-01,,
1210.58844,4.57E-01,,
1185.149628,4.55E-01,,
1162.1241,4.52E-01,,
1139.659409,4.50E-01,,
1118.824677,4.48E-01,,
